Gonzalez, G 		21	8	199.1	2.89	69	64	9	1.13	.724	1.24	.283	.299	.582	9.35	3.43	6.73	2.72	16.04
Dickey, R 		20	6	233.2	2.73	78	71	24	1.05	.769	1.23	.278	.362	.640	8.86	2.08	7.40	4.26	14.38
Price, D 		20	5	211.0	2.56	63	60	16	1.10	.800	1.43	.284	.318	.602	8.74	2.52	7.38	3.47	15.79
Weaver, J 		20	5	188.2	2.81	63	59	20	1.02	.800	0.74	.265	.340	.605	6.77	2.15	7.01	3.16	15.15
Cueto, J 		19	9	217.0	2.78	73	67	15	1.17	.679	1.26	.302	.366	.667	7.05	2.03	8.50	3.47	15.89
Harrison, M 		18	11	213.1	3.29	82	78	22	1.26	.621	1.32	.309	.406	.714	5.61	2.49	8.86	2.25	15.22
Lynn, L 		18	7	176.0	3.78	76	74	16	1.32	.720	1.10	.327	.401	.728	9.20	3.27	8.59	2.81	17.06
Hamels, C 		17	6	215.1	3.05	80	73	24	1.12	.739	1.00	.285	.377	.661	9.03	2.17	7.94	4.15	15.40
Sale, C 		17	8	192.0	3.05	66	65	19	1.14	.680	1.05	.291	.370	.660	9.00	2.39	7.83	3.76	15.72
Verlander, J 		17	8	238.1	2.64	81	70	19	1.06	.680	1.00	.270	.331	.601	9.03	2.27	7.25	3.98	15.81
Bumgarner, M 		16	11	208.1	3.37	87	78	23	1.11	.593	1.24	.284	.386	.670	8.25	2.12	7.91	3.90	15.69
Burnett, A 		16	10	202.1	3.51	86	79	18	1.24	.615	2.00	.307	.361	.668	8.01	2.76	8.41	2.90	15.03
Cain, M 		16	5	219.1	2.79	73	68	21	1.04	.762	0.78	.274	.361	.635	7.92	2.09	7.26	3.78	15.25
Darvish, Y 		16	9	191.1	3.90	89	83	14	1.28	.640	1.21	.313	.346	.659	10.40	4.19	7.34	2.48	16.55
Gallardo, Y 		16	9	204.0	3.66	86	83	26	1.30	.640	1.27	.313	.392	.706	9.00	3.57	8.16	2.52	17.06
Hudson, T 		16	7	179.0	3.62	77	72	12	1.21	.696	1.71	.304	.361	.666	5.13	2.41	8.45	2.13	14.65
Hughes, P 		16	13	191.1	4.19	101	89	35	1.26	.552	0.52	.305	.460	.765	7.76	2.16	9.22	3.59	16.82
Kuroda, H 		16	11	219.2	3.32	86	81	25	1.17	.593	1.54	.299	.406	.705	6.84	2.09	8.40	3.27	15.16
Lohse, K 		16	3	211.0	2.86	74	67	19	1.09	.842	0.95	.274	.368	.642	6.10	1.62	8.19	3.76	14.82
Miley, W 		16	11	194.2	3.33	79	72	14	1.18	.593	1.06	.290	.395	.685	6.66	1.71	8.92	3.89	15.42
Scherzer, M 		16	7	187.2	3.74	82	78	23	1.27	.696	0.70	.312	.409	.721	11.08	2.88	8.58	3.85	17.47
Greinke, Z 		15	5	212.1	3.48	84	82	18	1.20	.750	1.38	.297	.366	.663	8.48	2.29	8.48	3.70	15.93
Kennedy, I 		15	12	208.1	4.02	101	93	28	1.30	.556	0.86	.322	.453	.775	8.08	2.38	9.33	3.40	16.22
Sabathia, C 		15	6	200.0	3.38	89	75	22	1.14	.714	1.31	.285	.381	.666	8.87	1.98	8.28	4.48	15.14
Shields, J 		15	10	227.2	3.52	103	89	25	1.17	.600	1.50	.295	.383	.678	8.82	2.29	8.22	3.84	15.89
Strasburg, S 		15	6	159.1	3.16	62	56	15	1.15	.714	1.11	.291	.359	.649	11.13	2.71	7.68	4.10	16.36
Zito, B 		15	8	184.1	4.15	91	85	20	1.39	.652	0.84	.332	.426	.758	5.57	3.42	9.08	1.63	16.63
Kershaw, C 		14	9	227.2	2.53	70	64	16	1.02	.609	1.22	.270	.323	.593	9.05	2.49	6.72	3.63	15.23
Latos, M 		14	4	209.1	3.48	87	81	25	1.16	.778	1.17	.291	.390	.681	7.95	2.75	7.70	2.89	15.63
Richard, C 		14	14	218.2	3.99	110	97	31	1.23	.500	1.57	.304	.435	.739	4.40	1.73	9.38	2.55	14.48
Vargas, J 		14	11	217.1	3.85	94	93	35	1.18	.560	0.94	.293	.421	.714	5.84	2.28	8.32	2.56	15.43
Vogelsong, R 		14	9	189.2	3.37	76	71	17	1.23	.609	0.92	.309	.379	.688	7.50	2.94	8.11	2.55	16.11
Wainwright, A 		14	13	198.2	3.94	96	87	15	1.25	.519	1.49	.309	.392	.701	8.34	2.36	8.88	3.54	15.56
Bailey, H 		13	10	208.0	3.68	97	85	26	1.24	.565	1.03	.306	.412	.718	7.27	2.25	8.91	3.23	16.03
Buehrle, M 		13	13	202.1	3.74	88	84	26	1.17	.500	1.09	.296	.414	.710	5.56	1.78	8.76	3.13	15.13
Cahill, T 		13	12	200.0	3.78	93	84	16	1.29	.520	2.39	.325	.380	.706	7.02	3.33	8.28	2.11	15.86
Hanson, T 		13	10	174.2	4.48	95	87	27	1.45	.565	0.89	.344	.464	.808	8.30	3.66	9.43	2.27	16.69
Hernandez, F 		13	9	232.0	3.06	84	79	14	1.14	.591	1.20	.296	.333	.629	8.65	2.17	8.11	3.98	14.74
Maholm, P 		13	11	189.0	3.67	80	77	20	1.22	.542	1.42	.311	.404	.714	6.67	2.52	8.48	2.64	15.72
