Hernandez, F 		19	5	238.2	2.49	81	66	15	1.14	.792	1.63	.287	.318	.605	8.18	2.68	7.54	3.06	15.32
Sabathia, C 		19	8	230.0	3.37	96	86	18	1.15	.704	1.05	.292	.360	.653	7.71	2.62	7.71	2.94	15.65
Verlander, J 		19	9	240.0	3.45	99	92	20	1.18	.679	0.72	.295	.369	.665	10.09	2.36	8.21	4.27	16.48
Wainwright, A 		19	8	233.0	2.63	75	68	17	1.21	.704	1.47	.297	.349	.646	8.19	2.55	8.34	3.21	15.75
Beckett, J 		17	6	212.1	3.86	99	91	25	1.19	.739	1.32	.296	.395	.691	8.43	2.33	8.39	3.62	15.95
Carpenter, C 		17	4	192.2	2.24	49	48	7	1.01	.810	1.93	.272	.310	.581	6.73	1.78	7.29	3.79	14.02
Feldman, S 		17	8	189.2	4.08	87	86	18	1.28	.680	1.35	.319	.374	.693	5.36	3.08	8.45	1.74	16.81
Halladay, R 		17	10	239.0	2.79	82	74	22	1.13	.630	1.66	.285	.382	.667	7.83	1.32	8.81	5.94	14.26
De La Rosa, J 		16	9	185.0	4.38	95	90	20	1.38	.640	1.25	.335	.410	.745	9.39	4.04	8.37	2.33	16.60
Greinke, Z 		16	8	229.1	2.16	64	55	11	1.07	.667	0.92	.276	.336	.611	9.50	2.00	7.65	4.75	15.38
Saunders, J 		16	7	186.0	4.60	102	95	29	1.43	.696	1.39	.340	.454	.794	4.89	3.10	9.77	1.58	16.22
Weaver, J 		16	8	211.0	3.75	91	88	26	1.24	.667	0.59	.304	.420	.723	7.42	2.82	8.36	2.64	16.21
Arroyo, B 		15	13	220.1	3.84	101	94	31	1.27	.536	1.19	.315	.422	.737	5.19	2.66	8.74	1.95	15.48
Baker, S 		15	9	200.0	4.37	99	97	28	1.19	.625	0.64	.293	.416	.709	7.29	2.16	8.55	3.38	16.34
Jimenez, U 		15	12	218.0	3.47	87	84	13	1.23	.556	1.75	.309	.326	.635	8.17	3.51	7.56	2.33	16.48
Johnson, J 		15	5	209.0	3.23	77	75	14	1.16	.750	1.39	.294	.335	.629	8.22	2.50	7.92	3.29	15.76
Lester, J 		15	8	203.1	3.41	80	77	20	1.23	.652	1.43	.301	.366	.667	9.96	2.83	8.23	3.52	16.90
Lincecum, T 		15	7	225.1	2.48	69	62	10	1.05	.682	1.23	.271	.290	.561	10.42	2.72	6.71	3.84	15.50
Lowe, D 		15	10	194.2	4.67	109	101	16	1.52	.600	2.30	.355	.444	.799	5.13	2.91	10.73	1.76	16.55
Marquis, J 		15	13	216.0	4.04	104	97	15	1.38	.536	2.11	.332	.393	.724	4.79	3.33	9.08	1.44	15.08
Pineiro, J 		15	12	214.0	3.49	94	83	11	1.14	.556	2.37	.297	.377	.673	4.42	1.14	9.17	3.89	13.85
Vazquez, J 		15	10	219.1	2.87	75	70	20	1.03	.600	1.09	.266	.346	.612	9.77	1.81	7.43	5.41	15.18
Cain, M 		14	8	217.2	2.89	73	70	22	1.18	.636	0.92	.297	.373	.670	7.07	3.02	7.61	2.34	15.49
Haren, D 		14	10	229.1	3.14	83	80	27	1.00	.583	1.08	.260	.375	.635	8.75	1.49	7.53	5.87	15.17
Jurrjens, J 		14	10	215.0	2.60	71	62	15	1.21	.583	1.12	.304	.356	.660	6.36	3.14	7.79	2.03	15.40
Lee, C 		14	13	231.2	3.22	88	83	17	1.24	.519	1.00	.306	.390	.696	7.03	1.67	9.52	4.21	15.31
Looper, B 		14	7	194.2	5.22	123	113	39	1.49	.667	1.34	.344	.503	.847	4.62	2.96	10.45	1.56	16.87
Pavano, C 		14	12	199.1	5.10	119	113	26	1.37	.538	1.10	.329	.466	.795	6.64	1.76	10.61	3.77	15.69
Pettitte, A 		14	8	194.2	4.16	101	90	20	1.38	.636	1.01	.329	.393	.722	6.84	3.51	8.92	1.95	17.01
Porcello, R 		14	9	170.2	3.96	81	75	23	1.34	.609	1.88	.323	.416	.738	4.69	2.74	9.28	1.71	16.03
Rodriguez, W 		14	12	205.2	3.02	77	69	21	1.24	.538	1.26	.309	.386	.695	8.45	2.76	8.40	3.06	16.49
Buehrle, M 		13	10	213.1	3.84	97	91	27	1.25	.565	1.22	.315	.440	.756	4.43	1.90	9.37	2.33	15.08
Burnett, A 		13	9	207.0	4.04	99	93	25	1.40	.591	1.01	.336	.393	.729	8.48	4.22	8.39	2.01	16.90
Danks, J 		13	11	200.1	3.77	89	84	28	1.28	.542	1.09	.314	.412	.726	6.69	3.28	8.27	2.04	16.06
Gallardo, Y 		13	12	185.2	3.73	78	77	21	1.31	.520	1.17	.316	.385	.701	9.89	4.56	7.27	2.17	17.56
Jackson, E 		13	9	214.0	3.62	93	86	27	1.26	.591	0.87	.310	.415	.726	6.77	2.94	8.41	2.30	16.33
Millwood, K 		13	10	198.2	3.67	88	81	26	1.34	.565	1.10	.327	.423	.750	5.57	3.22	8.83	1.73	16.54
Niemann, J 		13	6	180.2	3.94	84	79	17	1.35	.684	0.96	.330	.399	.728	6.23	2.94	9.22	2.12	16.06
Nolasco, R 		13	9	185.0	5.06	111	104	23	1.25	.591	0.89	.301	.433	.734	9.49	2.14	9.15	4.43	16.53
